Precinct,County,Registered Voters,Russell A. Sheppard (I) (Dem)_Election Day Votes,Russell A. Sheppard (I) (Dem)_Advanced Voting Votes,Russell A. Sheppard (I) (Dem)_Absentee by Mail Votes,Russell A. Sheppard (I) (Dem)_Provisional Votes,Russell A. Sheppard (I) (Dem)_Choice Total,Total,
Riddleville,Washington,561,129,107,92,0,328,328,
Warthen,Washington,742,196,130,134,1,461,461,
Tennille,Washington,2512,369,763,364,3,1499,1499,
Oconee,Washington,581,139,115,85,1,340,340,
Harrison,Washington,1005,245,218,124,2,589,589,
Davisboro,Washington,814,207,183,119,0,509,509,
Sandersville,Washington,6221,642,2014,1200,0,3856,3856,
Deepstep,Washington,554,177,100,69,1,347,347,
