Precinct,County,Registered Voters,Susan C. Andrews (I) (Rep)_Election Day Votes,Susan C. Andrews (I) (Rep)_Advanced Voting Votes,Susan C. Andrews (I) (Rep)_Absentee by Mail Votes,Susan C. Andrews (I) (Rep)_Provisional Votes,Susan C. Andrews (I) (Rep)_Choice Total,Total,
Ellerslie,Harris,4211,863,1366,543,0,2772,2772,
Waverly Hall,Harris,2853,375,545,285,1,1206,1206,
