Precinct,County,Registered Voters,Amanda_Election Day Votes,Amanda_Advanced Voting Votes,Amanda_Absentee by Mail Votes,Amanda_Provisional Votes,Amanda_Choice Total,Total,
Aragon,Polk,3224,523,1295,243,3,2064,2064,
Blooming Grove,Polk,1659,306,607,119,3,1035,1035,
Cedartown,Polk,6205,607,2094,678,8,3387,3387,
Fish Creek,Polk,2566,400,1075,207,1,1683,1683,
Lake Creek,Polk,2828,425,1357,212,0,1994,1994,
Rockmart,Polk,5746,579,2566,463,2,3610,3610,
Youngs Grove,Polk,1961,338,803,173,1,1315,1315,
