Precinct,County,Registered Voters,Tony L. Brazier (Rep)_Election Day Votes,Tony L. Brazier (Rep)_Advanced Voting Votes,Tony L. Brazier (Rep)_Absentee by Mail Votes,Tony L. Brazier (Rep)_Provisional Votes,Tony L. Brazier (Rep)_Choice Total,Total,
Aragon,Polk,3224,524,1291,240,3,2058,2058,
Blooming Grove,Polk,1659,306,596,121,3,1026,1026,
Cedartown,Polk,6205,603,2105,692,6,3406,3406,
Fish Creek,Polk,2566,410,1077,206,1,1694,1694,
Lake Creek,Polk,2828,417,1345,205,0,1967,1967,
Rockmart,Polk,5746,582,2538,460,2,3582,3582,
Youngs Grove,Polk,1961,330,798,171,1,1300,1300,
