Precinct,County,Registered Voters,Stacie M. Baines (I) (Rep)_Election Day Votes,Stacie M. Baines (I) (Rep)_Advanced Voting Votes,Stacie M. Baines (I) (Rep)_Absentee by Mail Votes,Stacie M. Baines (I) (Rep)_Provisional Votes,Stacie M. Baines (I) (Rep)_Choice Total,Total,
Aragon,Polk,3224,524,1294,244,3,2065,2065,
Blooming Grove,Polk,1659,306,592,121,3,1022,1022,
Cedartown,Polk,6205,601,2096,688,8,3393,3393,
Fish Creek,Polk,2566,403,1073,205,1,1682,1682,
Lake Creek,Polk,2828,422,1365,210,0,1997,1997,
Rockmart,Polk,5746,588,2555,464,1,3608,3608,
Youngs Grove,Polk,1961,338,796,172,1,1307,1307,
