Precinct,County,Registered Voters,Norman Smith (Rep)_Election Day Votes,Norman Smith (Rep)_Advanced Voting Votes,Norman Smith (Rep)_Absentee by Mail Votes,Norman Smith (Rep)_Provisional Votes,Norman Smith (Rep)_Choice Total,Total,
Aragon,Polk,3224,524,1295,246,3,2068,2068,
Blooming Grove,Polk,1659,307,608,124,3,1042,1042,
Cedartown,Polk,6205,614,2125,697,8,3444,3444,
Fish Creek,Polk,2566,401,1084,208,1,1694,1694,
Lake Creek,Polk,2828,425,1367,215,0,2007,2007,
Rockmart,Polk,5746,582,2574,464,1,3621,3621,
Youngs Grove,Polk,1961,337,805,175,1,1318,1318,
