Precinct,County,Registered Voters,Sonya Little (I) (Rep)_Election Day Votes,Sonya Little (I) (Rep)_Advanced Voting Votes,Sonya Little (I) (Rep)_Absentee by Mail Votes,Sonya Little (I) (Rep)_Provisional Votes,Sonya Little (I) (Rep)_Choice Total,Total,
Air Acres,Cherokee,3050,506,939,483,2,1930,1930,
Arnold Mill,Cherokee,4884,874,1688,760,0,3322,3322,
Avery,Cherokee,3592,484,1534,576,0,2594,2594,
Ball Ground,Cherokee,4065,551,1849,403,0,2803,2803,
Bascomb,Cherokee,4115,668,1383,534,0,2585,2585,
Bells,Cherokee,5906,791,1622,784,1,3198,3198,
Booth,Cherokee,3899,471,1464,614,0,2549,2549,
Bradshaw,Cherokee,4491,547,1894,748,0,3189,3189,
Bridgemill,Cherokee,5113,695,2094,732,0,3521,3521,
Canton,Cherokee,8213,772,2589,1371,0,4732,4732,
Carmel,Cherokee,4581,675,1123,604,2,2404,2404,
Clayton,Cherokee,4906,794,1839,675,1,3309,3309,
Conns Creek,Cherokee,895,275,292,74,0,641,641,
Deer Run,Cherokee,3035,663,852,402,1,1918,1918,
Dixie,Cherokee,5733,716,1677,801,0,3194,3194,
Freehome,Cherokee,5790,760,2388,925,0,4073,4073,
Hickory Flat,Cherokee,7334,864,3016,1049,2,4931,4931,
Hightower,Cherokee,3483,511,1513,470,0,2494,2494,
Hillside,Cherokee,3155,421,1244,493,0,2158,2158,
Holly Springs,Cherokee,3262,520,1022,364,1,1907,1907,
Kellogg,Cherokee,5482,890,1525,655,2,3072,3072,
Liberty,Cherokee,8350,941,2956,1081,0,4978,4978,
Little River,Cherokee,7480,792,2325,1527,1,4645,4645,
Macedonia,Cherokee,4853,710,2076,724,0,3510,3510,
Mountain Road,Cherokee,3078,620,1035,437,1,2093,2093,
Neese,Cherokee,7642,909,2352,1169,1,4431,4431,
Oak Grove,Cherokee,3749,646,1040,508,0,2194,2194,
R M Moore,Cherokee,3468,695,1259,431,0,2385,2385,
R T Jones,Cherokee,2525,240,806,267,1,1314,1314,
Rosecreek,Cherokee,3748,581,1358,526,0,2465,2465,
Salacoa,Cherokee,727,280,131,69,0,480,480,
Sixes,Cherokee,3101,470,1132,510,0,2112,2112,
Sutallee,Cherokee,2540,737,816,293,1,1847,1847,
Teasley,Cherokee,7981,1256,3021,992,0,5269,5269,
Toonigh,Cherokee,6641,806,2544,898,0,4248,4248,
Union Hill,Cherokee,4207,859,1555,617,2,3033,3033,
Univeter,Cherokee,5434,634,2235,695,0,3564,3564,
Victoria,Cherokee,3132,617,1012,363,0,1992,1992,
Waleska,Cherokee,2875,600,837,485,0,1922,1922,
Wildcat,Cherokee,3215,572,1155,331,0,2058,2058,
Woodlands,Cherokee,3456,771,875,506,0,2152,2152,
Woodstock,Cherokee,7345,828,2257,976,2,4063,4063,
