Precinct,County,Registered Voters,William Grizzle (I)_Election Day Votes,William Grizzle (I)_Advanced Voting Votes,William Grizzle (I)_Absentee by Mail Votes,William Grizzle (I)_Provisional Votes,William Grizzle (I)_Choice Total,Total,
Air Acres,Cherokee,3050,485,917,467,0,1869,1869,
Arnold Mill,Cherokee,4884,826,1611,714,0,3151,3151,
Avery,Cherokee,3592,468,1451,553,0,2472,2472,
Ball Ground,Cherokee,4065,519,1713,383,1,2616,2616,
Bascomb,Cherokee,4115,640,1313,499,0,2452,2452,
Bells,Cherokee,5906,760,1579,751,1,3091,3091,
Booth,Cherokee,3899,453,1378,599,0,2430,2430,
Bradshaw,Cherokee,4491,524,1792,713,0,3029,3029,
Bridgemill,Cherokee,5113,666,1978,697,0,3341,3341,
Canton,Cherokee,8213,727,2472,1306,0,4505,4505,
Carmel,Cherokee,4581,653,1096,590,2,2341,2341,
Clayton,Cherokee,4906,762,1749,649,1,3161,3161,
Conns Creek,Cherokee,895,256,281,73,0,610,610,
Deer Run,Cherokee,3035,614,812,395,1,1822,1822,
Dixie,Cherokee,5733,695,1608,772,0,3075,3075,
Freehome,Cherokee,5790,739,2280,892,0,3911,3911,
Hickory Flat,Cherokee,7334,819,2870,999,1,4689,4689,
Hightower,Cherokee,3483,484,1422,429,0,2335,2335,
Hillside,Cherokee,3155,398,1186,462,0,2046,2046,
Holly Springs,Cherokee,3262,494,962,341,1,1798,1798,
Kellogg,Cherokee,5482,859,1455,633,2,2949,2949,
Liberty,Cherokee,8350,902,2833,1030,0,4765,4765,
Little River,Cherokee,7480,773,2252,1454,0,4479,4479,
Macedonia,Cherokee,4853,671,1979,684,0,3334,3334,
Mountain Road,Cherokee,3078,589,998,416,1,2004,2004,
Neese,Cherokee,7642,893,2290,1142,1,4326,4326,
Oak Grove,Cherokee,3749,613,985,489,0,2087,2087,
R M Moore,Cherokee,3468,644,1181,397,0,2222,2222,
R T Jones,Cherokee,2525,239,772,255,1,1267,1267,
Rosecreek,Cherokee,3748,552,1288,486,0,2326,2326,
Salacoa,Cherokee,727,251,126,65,0,442,442,
Sixes,Cherokee,3101,445,1084,463,0,1992,1992,
Sutallee,Cherokee,2540,703,764,278,1,1746,1746,
Teasley,Cherokee,7981,1190,2862,947,1,5000,5000,
Toonigh,Cherokee,6641,759,2407,863,0,4029,4029,
Union Hill,Cherokee,4207,836,1489,609,2,2936,2936,
Univeter,Cherokee,5434,606,2105,656,0,3367,3367,
Victoria,Cherokee,3132,581,966,345,0,1892,1892,
Waleska,Cherokee,2875,569,796,462,0,1827,1827,
Wildcat,Cherokee,3215,541,1111,314,0,1966,1966,
Woodlands,Cherokee,3456,751,835,477,0,2063,2063,
Woodstock,Cherokee,7345,810,2187,955,3,3955,3955,
