Precinct,County,Registered Voters,Jeffrey B. Wilbur_Election Day Votes,Jeffrey B. Wilbur_Advanced Voting Votes,Jeffrey B. Wilbur_Absentee by Mail Votes,Jeffrey B. Wilbur_Provisional Votes,Jeffrey B. Wilbur_Choice Total,Total,
Avery,Cherokee,3592,13,26,13,0,52,52,
Bradshaw,Cherokee,4491,28,132,58,0,218,218,
Hickory Flat,Cherokee,7334,480,1732,580,0,2792,2792,
Holly Springs,Cherokee,3262,391,716,252,0,1359,1359,
Liberty,Cherokee,8350,184,505,202,0,891,891,
Sixes,Cherokee,3101,0,1,0,0,1,1,
Toonigh,Cherokee,6641,152,479,182,0,813,813,
Univeter,Cherokee,5434,10,66,13,0,89,89,
Wildcat,Cherokee,3215,186,313,108,0,607,607,
