Precinct,County,Registered Voters,"Ron R. Wikle, Jr. (I) (Rep)_Election Day Votes","Ron R. Wikle, Jr. (I) (Rep)_Advanced Voting Votes","Ron R. Wikle, Jr. (I) (Rep)_Absentee by Mail Votes","Ron R. Wikle, Jr. (I) (Rep)_Provisional Votes","Ron R. Wikle, Jr. (I) (Rep)_Choice Total",Total,
Air Acres,Cherokee,3050,504,916,460,2,1882,1882,
Arnold Mill,Cherokee,4884,865,1664,728,0,3257,3257,
Avery,Cherokee,3592,482,1517,560,0,2559,2559,
Ball Ground,Cherokee,4065,547,1807,386,1,2741,2741,
Bascomb,Cherokee,4115,658,1362,515,0,2535,2535,
Bells,Cherokee,5906,787,1601,761,1,3150,3150,
Booth,Cherokee,3899,464,1447,601,0,2512,2512,
Bradshaw,Cherokee,4491,537,1864,718,0,3119,3119,
Bridgemill,Cherokee,5113,691,2065,699,0,3455,3455,
Canton,Cherokee,8213,751,2550,1336,0,4637,4637,
Carmel,Cherokee,4581,662,1099,585,3,2349,2349,
Clayton,Cherokee,4906,785,1822,652,1,3260,3260,
Conns Creek,Cherokee,895,270,288,73,0,631,631,
Deer Run,Cherokee,3035,652,834,394,1,1881,1881,
Dixie,Cherokee,5733,711,1655,781,0,3147,3147,
Freehome,Cherokee,5790,752,2367,905,0,4024,4024,
Hickory Flat,Cherokee,7334,853,2977,1012,1,4843,4843,
Hightower,Cherokee,3483,512,1493,462,0,2467,2467,
Hillside,Cherokee,3155,413,1227,478,0,2118,2118,
Holly Springs,Cherokee,3262,510,1004,350,1,1865,1865,
Kellogg,Cherokee,5482,884,1509,627,2,3022,3022,
Liberty,Cherokee,8350,926,2907,1051,0,4884,4884,
Little River,Cherokee,7480,780,2290,1486,1,4557,4557,
Macedonia,Cherokee,4853,701,2054,701,0,3456,3456,
Mountain Road,Cherokee,3078,614,1022,419,1,2056,2056,
Neese,Cherokee,7642,896,2315,1138,1,4350,4350,
Oak Grove,Cherokee,3749,641,1022,496,0,2159,2159,
R M Moore,Cherokee,3468,683,1238,417,0,2338,2338,
R T Jones,Cherokee,2525,240,791,257,1,1289,1289,
Rosecreek,Cherokee,3748,571,1344,502,0,2417,2417,
Salacoa,Cherokee,727,278,131,69,0,478,478,
Sixes,Cherokee,3101,461,1113,489,0,2063,2063,
Sutallee,Cherokee,2540,733,807,286,1,1827,1827,
Teasley,Cherokee,7981,1243,2952,955,0,5150,5150,
Toonigh,Cherokee,6641,788,2506,875,0,4169,4169,
Union Hill,Cherokee,4207,855,1541,602,2,3000,3000,
Univeter,Cherokee,5434,624,2209,685,0,3518,3518,
Victoria,Cherokee,3132,605,1000,358,0,1963,1963,
Waleska,Cherokee,2875,596,823,472,0,1891,1891,
Wildcat,Cherokee,3215,568,1135,316,0,2019,2019,
Woodlands,Cherokee,3456,763,855,480,0,2098,2098,
Woodstock,Cherokee,7345,819,2215,949,2,3985,3985,
