Precinct,County,Registered Voters,Michael Zenchuk (I)_Election Day Votes,Michael Zenchuk (I)_Advanced Voting Votes,Michael Zenchuk (I)_Absentee by Mail Votes,Michael Zenchuk (I)_Provisional Votes,Michael Zenchuk (I)_Choice Total,Total,
Avery,Cherokee,3592,14,26,13,0,53,53,
Bradshaw,Cherokee,4491,27,133,58,0,218,218,
Hickory Flat,Cherokee,7334,490,1781,597,0,2868,2868,
Holly Springs,Cherokee,3262,400,730,252,0,1382,1382,
Liberty,Cherokee,8350,186,512,205,0,903,903,
Sixes,Cherokee,3101,0,2,0,0,2,2,
Toonigh,Cherokee,6641,154,481,185,0,820,820,
Univeter,Cherokee,5434,10,68,13,0,91,91,
Wildcat,Cherokee,3215,190,317,108,0,615,615,
