Precinct,County,Registered Voters,Steve Miller (I)_Election Day Votes,Steve Miller (I)_Advanced Voting Votes,Steve Miller (I)_Absentee by Mail Votes,Steve Miller (I)_Provisional Votes,Steve Miller (I)_Choice Total,Total,
Avery,Cherokee,3592,13,26,14,0,53,53,
Bradshaw,Cherokee,4491,28,134,59,0,221,221,
Hickory Flat,Cherokee,7334,496,1821,619,0,2936,2936,
Holly Springs,Cherokee,3262,399,749,257,0,1405,1405,
Liberty,Cherokee,8350,188,515,207,0,910,910,
Sixes,Cherokee,3101,0,1,0,0,1,1,
Toonigh,Cherokee,6641,158,485,184,0,827,827,
Univeter,Cherokee,5434,10,68,14,0,92,92,
Wildcat,Cherokee,3215,192,320,114,0,626,626,
