Precinct,County,Registered Voters,Benny Carter (I) (Rep)_Election Day Votes,Benny Carter (I) (Rep)_Advanced Voting Votes,Benny Carter (I) (Rep)_Absentee by Mail Votes,Benny Carter (I) (Rep)_Provisional Votes,Benny Carter (I) (Rep)_Choice Total,Total,
Bascomb,Cherokee,4115,656,1358,507,0,2521,2521,
Bridgemill,Cherokee,5113,689,2073,704,0,3466,3466,
Holly Springs,Cherokee,3262,507,1006,350,0,1863,1863,
Liberty,Cherokee,8350,920,2905,1045,0,4870,4870,
Sixes,Cherokee,3101,464,1116,497,0,2077,2077,
Sutallee,Cherokee,2540,734,811,284,0,1829,1829,
Teasley,Cherokee,7981,555,1704,583,0,2842,2842,
Toonigh,Cherokee,6641,795,2503,868,0,4166,4166,
Victoria,Cherokee,3132,607,997,356,0,1960,1960,
Wildcat,Cherokee,3215,565,1140,322,0,2027,2027,
