Precinct,County,Registered Voters,Martha G. Smith (I) (Rep)_Election Day Votes,Martha G. Smith (I) (Rep)_Advanced Voting Votes,Martha G. Smith (I) (Rep)_Absentee by Mail Votes,Martha G. Smith (I) (Rep)_Provisional Votes,Martha G. Smith (I) (Rep)_Choice Total,Total,
Bremen,Haralson,6622,12,46,15,0,73,73,
Buchanan,Haralson,2365,149,278,87,0,514,514,
Corinth,Haralson,1682,311,444,117,0,872,872,
Seventh,Haralson,1932,148,231,69,1,449,449,
Waco,Haralson,1183,5,9,3,0,17,17,
