Precinct,County,Registered Voters,Amy Richie Muse (Rep)_Election Day Votes,Amy Richie Muse (Rep)_Advanced Voting Votes,Amy Richie Muse (Rep)_Absentee by Mail Votes,Amy Richie Muse (Rep)_Provisional Votes,Amy Richie Muse (Rep)_Choice Total,Total,
Bremen,Haralson,6622,1072,2443,722,0,4237,4237,
Buchanan,Haralson,2365,412,850,245,1,1508,1508,
Buncombe,Haralson,1075,302,266,98,0,666,666,
Corinth,Haralson,1682,402,529,151,0,1082,1082,
Twentieth,Haralson,738,221,196,82,0,499,499,
Felton,Haralson,304,110,76,23,0,209,209,
Little Creek,Haralson,699,267,166,65,0,498,498,
Mt View,Haralson,330,138,68,26,0,232,232,
Seventh,Haralson,1932,393,602,178,2,1175,1175,
Berea-Steadman,Haralson,665,220,168,54,0,442,442,
Tallapoosa,Haralson,3072,609,881,333,1,1824,1824,
Waco,Haralson,1183,336,311,98,0,745,745,
