Precinct,County,Registered Voters,Eddie Hulsey (I) (Rep)_Election Day Votes,Eddie Hulsey (I) (Rep)_Advanced Voting Votes,Eddie Hulsey (I) (Rep)_Absentee by Mail Votes,Eddie Hulsey (I) (Rep)_Provisional Votes,Eddie Hulsey (I) (Rep)_Choice Total,Total,
Bremen,Haralson,6622,1075,2446,731,0,4252,4252,
Buchanan,Haralson,2365,417,864,257,1,1539,1539,
Buncombe,Haralson,1075,305,269,98,0,672,672,
Corinth,Haralson,1682,399,532,155,0,1086,1086,
Twentieth,Haralson,738,222,197,82,0,501,501,
Felton,Haralson,304,109,76,23,0,208,208,
Little Creek,Haralson,699,270,170,70,0,510,510,
Mt View,Haralson,330,141,70,28,0,239,239,
Seventh,Haralson,1932,393,603,177,2,1175,1175,
Berea-Steadman,Haralson,665,223,171,60,0,454,454,
Tallapoosa,Haralson,3072,621,902,356,1,1880,1880,
Waco,Haralson,1183,339,316,102,0,757,757,
