Precinct,County,Registered Voters,John Daniel (Rep)_Election Day Votes,John Daniel (Rep)_Advanced Voting Votes,John Daniel (Rep)_Absentee by Mail Votes,John Daniel (Rep)_Provisional Votes,John Daniel (Rep)_Choice Total,Total,
Bremen,Haralson,6622,80,223,52,0,355,355,
Buchanan,Haralson,2365,408,846,240,1,1495,1495,
Felton,Haralson,304,91,61,17,0,169,169,
Little Creek,Haralson,699,250,161,65,0,476,476,
Berea-Steadman,Haralson,665,64,69,15,0,148,148,
Waco,Haralson,1183,265,275,87,0,627,627,
