Precinct,County,Registered Voters,David Breedlove (I) (Rep)_Election Day Votes,David Breedlove (I) (Rep)_Advanced Voting Votes,David Breedlove (I) (Rep)_Absentee by Mail Votes,David Breedlove (I) (Rep)_Provisional Votes,David Breedlove (I) (Rep)_Choice Total,Total,
Bold Springs,Walton,4653,375,963,346,0,1684,1684,
Walker Park,Walton,3858,574,1523,466,0,2563,2563,
Gratis,Walton,1243,347,461,155,0,963,963,
North Monroe,Walton,4818,112,380,113,0,605,605,
Mountain,Walton,1657,304,623,184,0,1111,1111,
