Precinct,County,Registered Voters,Joe Chapman (I) (Rep)_Election Day Votes,Joe Chapman (I) (Rep)_Advanced Voting Votes,Joe Chapman (I) (Rep)_Absentee by Mail Votes,Joe Chapman (I) (Rep)_Provisional Votes,Joe Chapman (I) (Rep)_Choice Total,Total,
Bold Springs,Walton,4653,753,1891,632,2,3278,3278,
Whatley,Walton,1254,252,505,155,0,912,912,
Walker Park,Walton,3858,568,1508,480,0,2556,2556,
Gratis,Walton,1243,335,458,165,0,958,958,
Between,Walton,4925,598,2264,595,1,3458,3458,
Walnut Grove,Walton,2661,513,978,250,0,1741,1741,
Loganville North,Walton,5225,569,1792,615,4,2980,2980,
Social Circle,Walton,4604,825,1474,444,3,2746,2746,
South Monroe,Walton,3910,322,1402,420,0,2144,2144,
North Monroe,Walton,4818,487,1158,466,3,2114,2114,
Loganville South,Walton,3768,422,1272,502,0,2196,2196,
West Walton,Walton,4219,603,1755,529,0,2887,2887,
Broken Arrow,Walton,4380,606,1779,481,0,2866,2866,
Bay Creek,Walton,3401,379,1502,407,1,2289,2289,
E Monroe,Walton,4119,470,1063,338,1,1872,1872,
W Monroe,Walton,2027,263,923,259,0,1445,1445,
Tara,Walton,4050,355,1396,431,1,2183,2183,
Mountain,Walton,1657,288,611,183,0,1082,1082,
Jersey,Walton,1970,676,624,191,1,1492,1492,
Blasingame,Walton,1115,405,329,115,1,850,850,
Good Hope,Walton,2149,643,674,188,0,1505,1505,
