Precinct,County,Registered Voters,Mike Burke (I) (Rep)_Election Day Votes,Mike Burke (I) (Rep)_Advanced Voting Votes,Mike Burke (I) (Rep)_Absentee by Mail Votes,Mike Burke (I) (Rep)_Provisional Votes,Mike Burke (I) (Rep)_Choice Total,Total,
Bold Springs,Walton,4653,764,1912,626,2,3304,3304,
Whatley,Walton,1254,252,516,158,0,926,926,
Walker Park,Walton,3858,577,1524,477,0,2578,2578,
Gratis,Walton,1243,349,460,159,0,968,968,
Between,Walton,4925,606,2286,590,0,3482,3482,
Walnut Grove,Walton,2661,520,989,252,0,1761,1761,
Loganville North,Walton,5225,584,1802,610,4,3000,3000,
Social Circle,Walton,4604,841,1482,442,3,2768,2768,
South Monroe,Walton,3910,329,1409,424,0,2162,2162,
North Monroe,Walton,4818,492,1144,456,2,2094,2094,
Loganville South,Walton,3768,430,1288,491,0,2209,2209,
West Walton,Walton,4219,617,1770,533,0,2920,2920,
Broken Arrow,Walton,4380,618,1804,475,0,2897,2897,
Bay Creek,Walton,3401,383,1508,401,1,2293,2293,
E Monroe,Walton,4119,473,1075,343,2,1893,1893,
W Monroe,Walton,2027,268,920,254,0,1442,1442,
Tara,Walton,4050,360,1417,423,1,2201,2201,
Mountain,Walton,1657,301,625,185,0,1111,1111,
Jersey,Walton,1970,685,630,200,1,1516,1516,
Blasingame,Walton,1115,407,332,117,1,857,857,
Good Hope,Walton,2149,660,688,188,0,1536,1536,
