Precinct,County,Registered Voters,Timmy Shelnutt (I) (Rep)_Election Day Votes,Timmy Shelnutt (I) (Rep)_Advanced Voting Votes,Timmy Shelnutt (I) (Rep)_Absentee by Mail Votes,Timmy Shelnutt (I) (Rep)_Provisional Votes,Timmy Shelnutt (I) (Rep)_Choice Total,Total,
Walnut Grove,Walton,2661,522,991,253,0,1766,1766,
West Walton,Walton,4219,161,560,174,0,895,895,
Broken Arrow,Walton,4380,621,1809,482,0,2912,2912,
W Monroe,Walton,2027,10,47,12,0,69,69,
Tara,Walton,4050,168,641,180,0,989,989,
Jersey,Walton,1970,677,624,193,1,1495,1495,
