Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
ANNX,Houston,4512,437,1129,785,5,2356,185,497,261,0,943,3299,
BMS,Houston,9536,1143,2508,1475,1,5127,506,1047,507,1,2061,7188,
CENT,Houston,7795,921,1717,1096,3,3737,375,711,401,0,1487,5224,
CGTC,Houston,4860,490,1302,654,3,2449,194,583,224,1,1002,3451,
FMMS,Houston,8767,1096,2215,1101,2,4414,431,924,426,1,1782,6196,
HAFS,Houston,1805,483,273,140,1,897,195,142,61,0,398,1295,
HCTC,Houston,6361,693,1221,804,3,2721,248,490,318,3,1059,3780,
HEFS,Houston,1372,306,206,140,7,659,159,116,49,2,326,985,
HHPC,Houston,9610,952,1861,1318,5,4136,348,724,495,1,1568,5704,
MCMS,Houston,9181,979,2498,1164,6,4647,440,1096,438,3,1977,6624,
NSES,Houston,2441,372,500,355,1,1228,134,214,140,0,488,1716,
RECR,Houston,9277,921,1324,1049,9,3303,335,498,501,5,1339,4642,
ROZR,Houston,13802,1446,3395,1613,7,6461,618,1593,662,3,2876,9337,
TMS,Houston,5286,608,1087,718,5,2418,262,454,296,2,1014,3432,
TWPK,Houston,4415,617,1006,618,2,2243,235,423,200,1,859,3102,
VHS,Houston,6295,810,1690,699,3,3202,372,706,218,1,1297,4499,
