Precinct,County,Registered Voters,John F. Kennedy (I) (Rep)_Election Day Votes,John F. Kennedy (I) (Rep)_Advanced Voting Votes,John F. Kennedy (I) (Rep)_Absentee by Mail Votes,John F. Kennedy (I) (Rep)_Provisional Votes,John F. Kennedy (I) (Rep)_Choice Total,Total,
CENT,Houston,7795,1164,1990,1017,0,4171,4171,
HHPC,Houston,9610,488,1045,628,0,2161,2161,
NSES,Houston,2441,440,565,326,0,1331,1331,
RECR,Houston,9277,79,174,99,0,352,352,
TMS,Houston,5286,323,470,252,0,1045,1045,
