Precinct,County,Registered Voters,Robert Dickey (I) (Rep)_Election Day Votes,Robert Dickey (I) (Rep)_Advanced Voting Votes,Robert Dickey (I) (Rep)_Absentee by Mail Votes,Robert Dickey (I) (Rep)_Provisional Votes,Robert Dickey (I) (Rep)_Choice Total,Total,
CENT,Houston,7795,98,155,80,0,333,333,
HHPC,Houston,9610,333,681,416,0,1430,1430,
NSES,Houston,2441,462,591,341,0,1394,1394,
RECR,Houston,9277,347,487,427,0,1261,1261,
