Precinct,County,Registered Voters,Sue J. Youngblood (Rep)_Election Day Votes,Sue J. Youngblood (Rep)_Advanced Voting Votes,Sue J. Youngblood (Rep)_Absentee by Mail Votes,Sue J. Youngblood (Rep)_Provisional Votes,Sue J. Youngblood (Rep)_Choice Total,Total,
Isabella,Worth,1424,275,531,116,0,922,922,
Red Rock,Worth,1287,297,251,84,0,632,632,
Doles,Worth,449,153,98,36,0,287,287,
Oakfield,Worth,229,59,47,18,0,124,124,
Warwick,Worth,701,215,124,79,0,418,418,
