Precinct,County,Registered Voters,Virginia Acord (I) (Rep)_Election Day Votes,Virginia Acord (I) (Rep)_Advanced Voting Votes,Virginia Acord (I) (Rep)_Absentee by Mail Votes,Virginia Acord (I) (Rep)_Provisional Votes,Virginia Acord (I) (Rep)_Choice Total,Total,
Sylvester,Worth,3006,264,659,260,0,1183,1183,
Scooterville,Worth,603,197,149,39,0,385,385,
Minton,Worth,543,190,157,39,0,386,386,
Bridgeboro,Worth,1286,320,342,87,0,749,749,
County Line,Worth,887,185,199,68,0,452,452,
Isabella,Worth,1424,278,531,119,0,928,928,
Piney Woods,Worth,336,54,77,26,0,157,157,
Sylvester East,Worth,1406,196,513,124,0,833,833,
Poulan,Worth,887,244,230,63,0,537,537,
Sumner,Worth,871,230,207,64,0,501,501,
Shingler,Worth,554,190,163,42,0,395,395,
Red Rock,Worth,1287,302,254,83,0,639,639,
Doles,Worth,449,156,102,37,0,295,295,
Oakfield,Worth,229,58,47,18,0,123,123,
Warwick,Worth,701,212,125,81,0,418,418,
