Precinct,County,Registered Voters,Tabetha_Election Day Votes,Tabetha_Advanced Voting Votes,Tabetha_Absentee by Mail Votes,Tabetha_Provisional Votes,Tabetha_Choice Total,Total,
Sylvester,Worth,3006,274,684,257,0,1215,1215,
Scooterville,Worth,603,200,147,37,0,384,384,
Minton,Worth,543,186,156,38,0,380,380,
Bridgeboro,Worth,1286,312,343,88,0,743,743,
County Line,Worth,887,181,200,68,0,449,449,
Isabella,Worth,1424,269,529,115,0,913,913,
Piney Woods,Worth,336,54,84,28,0,166,166,
Sylvester East,Worth,1406,194,505,127,0,826,826,
Poulan,Worth,887,240,226,65,0,531,531,
Sumner,Worth,871,229,208,66,0,503,503,
Shingler,Worth,554,186,161,42,0,389,389,
Red Rock,Worth,1287,301,259,86,0,646,646,
Doles,Worth,449,151,100,35,0,286,286,
Oakfield,Worth,229,57,49,18,0,124,124,
Warwick,Worth,701,215,124,81,0,420,420,
