Precinct,County,Registered Voters,Marilyn C. Herring (Rep)_Election Day Votes,Marilyn C. Herring (Rep)_Advanced Voting Votes,Marilyn C. Herring (Rep)_Absentee by Mail Votes,Marilyn C. Herring (Rep)_Provisional Votes,Marilyn C. Herring (Rep)_Choice Total,Total,
Sylvester East,Worth,1406,198,505,127,0,830,830,
Poulan,Worth,887,242,227,65,0,534,534,
Sumner,Worth,871,226,206,63,0,495,495,
Shingler,Worth,554,187,158,41,0,386,386,
