Precinct,County,Registered Voters,Parks White (I) (Rep)_Election Day Votes,Parks White (I) (Rep)_Advanced Voting Votes,Parks White (I) (Rep)_Absentee by Mail Votes,Parks White (I) (Rep)_Provisional Votes,Parks White (I) (Rep)_Choice Total,Total,
Elberton,Elbert,3798,259,1147,448,0,1854,1854,
Longstreet,Elbert,622,113,200,75,0,388,388,
Eliam,Elbert,748,156,262,99,0,517,517,
Petersburg,Elbert,377,105,96,61,0,262,262,
Wyche,Elbert,1095,140,432,126,0,698,698,
Moss-Ruckersville,Elbert,468,105,133,61,0,299,299,
Pike,Elbert,1596,239,465,211,0,915,915,
Gaines,Elbert,570,186,132,66,0,384,384,
Goshen,Elbert,1612,369,520,157,0,1046,1046,
Webbsboro,Elbert,408,99,138,46,0,283,283,
Centerville,Elbert,1011,214,336,98,0,648,648,
