Precinct,County,Registered Voters,Chris A. Alexander (I) (Rep)_Election Day Votes,Chris A. Alexander (I) (Rep)_Advanced Voting Votes,Chris A. Alexander (I) (Rep)_Absentee by Mail Votes,Chris A. Alexander (I) (Rep)_Provisional Votes,Chris A. Alexander (I) (Rep)_Choice Total,Total,
Longstreet,Elbert,622,115,204,71,0,390,390,
Moss-Ruckersville,Elbert,468,111,134,57,0,302,302,
Gaines,Elbert,570,193,132,73,0,398,398,
Centerville,Elbert,1011,220,347,97,0,664,664,
