Precinct,County,Registered Voters,Max Burns (Rep)_Election Day Votes,Max Burns (Rep)_Advanced Voting Votes,Max Burns (Rep)_Absentee by Mail Votes,Max Burns (Rep)_Provisional Votes,Max Burns (Rep)_Choice Total,Ceretta Smith (Dem)_Election Day Votes,Ceretta Smith (Dem)_Advanced Voting Votes,Ceretta Smith (Dem)_Absentee by Mail Votes,Ceretta Smith (Dem)_Provisional Votes,Ceretta Smith (Dem)_Choice Total,Total,
Edgehill,Glascock,136,50,42,10,0,102,0,9,2,0,11,113,
Gibson,Glascock,677,102,258,64,0,424,17,16,14,0,47,471,
Mill,Glascock,778,145,329,67,0,541,6,16,14,0,36,577,
Mitchell,Glascock,448,99,136,57,0,292,14,16,17,0,47,339,
