Precinct,County,Registered Voters,Scott V. Lamb (Rep)_Election Day Votes,Scott V. Lamb (Rep)_Advanced Voting Votes,Scott V. Lamb (Rep)_Absentee by Mail Votes,Scott V. Lamb (Rep)_Provisional Votes,Scott V. Lamb (Rep)_Choice Total,Total,
Edgehill,Glascock,136,47,47,8,0,102,102,
Gibson,Glascock,677,108,240,63,0,411,411,
Mill,Glascock,778,135,298,53,0,486,486,
Mitchell,Glascock,448,102,133,61,0,296,296,
