Precinct,County,Registered Voters,Robert Pruitt (Rep)_Election Day Votes,Robert Pruitt (Rep)_Advanced Voting Votes,Robert Pruitt (Rep)_Absentee by Mail Votes,Robert Pruitt (Rep)_Provisional Votes,Robert Pruitt (Rep)_Choice Total,Total,
Chauncey,Dodge,412,159,68,29,0,256,256,
Clark,Dodge,111,47,18,5,0,70,70,
Eddin,Dodge,1037,217,314,90,0,621,621,
Empire,Dodge,456,151,114,29,0,294,294,
Jaybird,Dodge,212,72,32,14,1,119,119,
Jones,Dodge,436,123,128,26,0,277,277,
Lee,Dodge,4816,505,1569,418,3,2495,2495,
McCranie,Dodge,293,98,69,19,0,186,186,
Milan,Dodge,332,108,65,21,0,194,194,
Mitchell,Dodge,333,110,90,16,1,217,217,
Mullis,Dodge,505,187,66,50,0,303,303,
Plainfield,Dodge,454,151,126,34,0,311,311,
Pondtown,Dodge,689,209,145,66,0,420,420,
Rawlins,Dodge,923,195,292,76,0,563,563,
Vilula,Dodge,170,77,31,10,0,118,118,
Yonker,Dodge,260,110,42,17,0,169,169,
