Precinct,County,Registered Voters,Janice B. Brown (I) (Rep)_Election Day Votes,Janice B. Brown (I) (Rep)_Advanced Voting Votes,Janice B. Brown (I) (Rep)_Absentee by Mail Votes,Janice B. Brown (I) (Rep)_Provisional Votes,Janice B. Brown (I) (Rep)_Choice Total,Total,
Rochelle North 1,Wilcox,558,94,113,34,0,241,241,
Abbeville North 2,Wilcox,441,48,231,41,0,320,320,
Pineview 2,Wilcox,630,170,136,55,0,361,361,
Pitts 3,Wilcox,876,261,243,81,0,585,585,
Rochelle South 4,Wilcox,1033,190,389,112,0,691,691,
Abbeville South 5,Wilcox,1123,127,385,115,0,627,627,
