Precinct,County,Registered Voters,Lewis R. Lamb (I) (Ind)_Election Day Votes,Lewis R. Lamb (I) (Ind)_Advanced Voting Votes,Lewis R. Lamb (I) (Ind)_Absentee by Mail Votes,Lewis R. Lamb (I) (Ind)_Provisional Votes,Lewis R. Lamb (I) (Ind)_Choice Total,Total,
Ideal,Macon,1399,134,349,77,0,560,560,
Oglethorpe,Macon,1294,104,388,73,0,565,565,
Marshallville,Macon,1344,229,255,98,0,582,582,
Montezuma #4,Macon,1597,128,420,168,0,716,716,
Montezuma #5,Macon,1357,140,299,148,0,587,587,
