Precinct,County,Registered Voters,Rhonda S. Respress (I) (Dem)_Election Day Votes,Rhonda S. Respress (I) (Dem)_Advanced Voting Votes,Rhonda S. Respress (I) (Dem)_Absentee by Mail Votes,Rhonda S. Respress (I) (Dem)_Provisional Votes,Rhonda S. Respress (I) (Dem)_Choice Total,Total,
Ideal,Macon,1399,153,415,98,0,666,666,
Oglethorpe,Macon,1294,116,465,110,0,691,691,
Marshallville,Macon,1344,274,298,137,0,709,709,
Montezuma #4,Macon,1597,161,510,218,0,889,889,
Montezuma #5,Macon,1357,165,390,187,0,742,742,
