index,County,Precinct,Registered Voters,Spencer Frye (I) (Dem)_Election Day Votes,Spencer Frye (I) (Dem)_Advanced Voting Votes,Spencer Frye (I) (Dem)_Absentee by Mail Votes,Spencer Frye (I) (Dem)_Provisional Votes,Spencer Frye (I) (Dem)_Choice Total,Total,
0,Clarke,1A,3017,423,590,543,0,1556,1556,
1,Clarke,1B,3645,261,932,851,2,2046,2046,
2,Clarke,2A,4341,530,810,722,0,2062,2062,
3,Clarke,2B,5136,488,1203,737,3,2431,2431,
4,Clarke,3B,4122,330,1105,591,0,2026,2026,
5,Clarke,5A,3007,245,1025,690,0,1960,1960,
6,Clarke,5B,3030,317,782,728,0,1827,1827,
7,Clarke,5C,2053,163,814,492,1,1470,1470,
8,Clarke,5D,3087,368,733,495,3,1599,1599,
9,Clarke,8A,3319,266,780,781,3,1830,1830,
