index,County,Precinct,Registered Voters,Frank Ginn (I) (Rep)_Election Day Votes,Frank Ginn (I) (Rep)_Advanced Voting Votes,Frank Ginn (I) (Rep)_Absentee by Mail Votes,Frank Ginn (I) (Rep)_Provisional Votes,Frank Ginn (I) (Rep)_Choice Total,Dawn Johnson (Dem)_Election Day Votes,Dawn Johnson (Dem)_Advanced Voting Votes,Dawn Johnson (Dem)_Absentee by Mail Votes,Dawn Johnson (Dem)_Provisional Votes,Dawn Johnson (Dem)_Choice Total,Total,
0,Clarke,1A,3017,294,243,205,0,742,254,456,435,1,1146,1888,
1,Clarke,1B,3645,153,424,279,3,859,186,717,717,1,1621,2480,
2,Clarke,1C,2242,165,297,179,0,641,127,505,545,0,1177,1818,
3,Clarke,1D,2830,202,387,310,0,899,134,549,699,0,1382,2281,
4,Clarke,2A,4341,152,166,147,0,465,442,732,652,0,1826,2291,
5,Clarke,4A,2072,78,196,78,0,352,173,450,326,1,950,1302,
6,Clarke,5D,3087,107,223,127,0,457,303,631,437,4,1375,1832,
7,Clarke,8A,3319,133,275,247,0,655,189,631,661,1,1482,2137,
8,Clarke,8B,2317,110,187,171,0,468,182,427,463,0,1072,1540,
9,Clarke,8C,3910,178,359,203,0,740,269,774,701,2,1746,2486,
