index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Clarke,1A,3017,281,241,192,0,714,236,444,418,3,1101,33,12,38,0,83,1898,
1,Clarke,1B,3645,141,412,258,3,814,177,681,702,1,1561,25,54,38,0,117,2492,
2,Clarke,1C,2242,154,275,164,0,593,119,487,542,0,1148,21,41,19,0,81,1822,
3,Clarke,1D,2830,186,373,299,1,859,128,530,683,0,1341,21,28,26,0,75,2275,
4,Clarke,2A,4341,146,168,134,0,448,411,701,641,0,1753,36,32,26,1,95,2296,
5,Clarke,2B,5136,116,156,61,1,334,391,1085,713,5,2194,29,36,34,0,99,2627,
6,Clarke,3A,2938,43,106,42,1,192,239,549,429,3,1220,23,21,17,1,62,1474,
7,Clarke,3B,4122,128,255,80,1,464,226,914,540,3,1683,32,44,23,0,99,2246,
8,Clarke,4A,2072,69,188,74,0,331,152,430,318,0,900,30,30,18,1,79,1310,
9,Clarke,4B,4096,211,462,157,1,831,215,927,595,1,1738,52,52,35,0,139,2708,
10,Clarke,5A,3007,104,386,214,1,705,162,784,567,0,1513,27,35,23,0,85,2303,
11,Clarke,5B,3030,131,272,202,1,606,213,600,593,0,1406,31,37,33,0,101,2113,
12,Clarke,5C,2053,54,85,51,0,190,115,756,460,1,1332,17,26,12,0,55,1577,
13,Clarke,5D,3087,94,212,121,1,428,285,602,431,2,1320,36,39,15,1,91,1839,
14,Clarke,6A,3780,206,630,365,1,1202,174,583,580,3,1340,27,41,32,0,100,2642,
15,Clarke,6B,3865,178,457,328,0,963,201,669,713,1,1584,31,50,48,0,129,2676,
16,Clarke,6C,3129,203,465,289,0,957,141,519,552,0,1212,21,41,23,0,85,2254,
17,Clarke,6D,1701,98,149,70,0,317,98,430,368,0,896,21,21,13,0,55,1268,
18,Clarke,7A,2968,158,403,270,1,832,159,526,534,0,1219,27,37,25,0,89,2140,
19,Clarke,7B,3166,132,459,259,0,850,126,550,534,1,1211,29,46,32,1,108,2169,
20,Clarke,7C,2733,169,371,225,2,767,137,553,489,0,1179,29,33,13,0,75,2021,
21,Clarke,8A,3319,124,270,226,0,620,170,616,653,2,1441,27,27,29,1,84,2145,
22,Clarke,8B,2317,106,175,165,0,446,161,410,465,0,1036,27,24,7,0,58,1540,
23,Clarke,8C,3910,166,351,186,1,704,250,740,679,3,1672,32,43,45,0,120,2496,
