Precinct,County,Registered Voters,Mark Anthony Christmas (I) (Dem)_Election Day Votes,Mark Anthony Christmas (I) (Dem)_Advanced Voting Votes,Mark Anthony Christmas (I) (Dem)_Absentee by Mail Votes,Mark Anthony Christmas (I) (Dem)_Provisional Votes,Mark Anthony Christmas (I) (Dem)_Choice Total,Total,
Jonesboro 1,Clayton,3244,294,961,597,4,1856,1856,
Jonesboro 2,Clayton,4345,381,1212,698,6,2297,2297,
Jonesboro 12,Clayton,3067,318,851,419,11,1599,1599,
Jonesboro 16,Clayton,2560,311,544,340,3,1198,1198,
Jonesboro 17,Clayton,3359,55,134,130,1,320,320,
Jonesboro 19,Clayton,3299,297,871,486,6,1660,1660,
Riverdale 2,Clayton,3431,310,913,544,22,1789,1789,
Riverdale 9,Clayton,2653,210,530,304,3,1047,1047,
