Precinct,County,Registered Voters,Sabrina Hill (Dem)_Election Day Votes,Sabrina Hill (Dem)_Advanced Voting Votes,Sabrina Hill (Dem)_Absentee by Mail Votes,Sabrina Hill (Dem)_Provisional Votes,Sabrina Hill (Dem)_Choice Total,Total,
Forest Park 3,Clayton,2845,224,397,306,1,928,928,
Forest Park 4,Clayton,1783,196,398,196,0,790,790,
Forest Park 5,Clayton,3924,426,803,398,11,1638,1638,
Forest Park 6,Clayton,1463,128,358,149,0,635,635,
Jonesboro 15,Clayton,2872,252,684,257,3,1196,1196,
Morrow 2,Clayton,2081,45,151,72,0,268,268,
Riverdale 6,Clayton,3661,375,689,400,8,1472,1472,
