Precinct,County,Registered Voters,Kim Schofield (I) (Dem)_Election Day Votes,Kim Schofield (I) (Dem)_Advanced Voting Votes,Kim Schofield (I) (Dem)_Absentee by Mail Votes,Kim Schofield (I) (Dem)_Provisional Votes,Kim Schofield (I) (Dem)_Choice Total,Total,
Forest Park 1,Clayton,3566,427,527,387,6,1347,1347,
Forest Park 2,Clayton,2821,328,577,383,8,1296,1296,
Oak 1,Clayton,2635,333,743,290,3,1369,1369,
Oak 2,Clayton,1974,242,428,230,9,909,909,
