Precinct,County,Registered Voters,Keisha Wright Hill (Dem)_Election Day Votes,Keisha Wright Hill (Dem)_Advanced Voting Votes,Keisha Wright Hill (Dem)_Absentee by Mail Votes,Keisha Wright Hill (Dem)_Provisional Votes,Keisha Wright Hill (Dem)_Choice Total,Total,
Ellenwood 1,Clayton,3020,234,1189,648,5,2076,2076,
Ellenwood 2,Clayton,3273,255,1326,583,4,2168,2168,
Forest Park 1,Clayton,3566,433,532,381,9,1355,1355,
Forest Park 2,Clayton,2821,321,573,383,10,1287,1287,
Forest Park 3,Clayton,2845,279,487,362,17,1145,1145,
Forest Park 4,Clayton,1783,191,396,193,0,780,780,
Forest Park 5,Clayton,3924,429,787,401,18,1635,1635,
Forest Park 6,Clayton,1463,132,358,144,2,636,636,
Jonesboro 1,Clayton,3244,297,968,602,6,1873,1873,
Jonesboro 2,Clayton,4345,393,1288,742,10,2433,2433,
Jonesboro 3,Clayton,4107,299,1257,802,8,2366,2366,
Jonesboro 4,Clayton,2574,233,548,276,5,1062,1062,
Jonesboro 5,Clayton,2064,265,557,327,0,1149,1149,
Jonesboro 6,Clayton,2574,158,675,555,3,1391,1391,
Jonesboro 7,Clayton,3174,295,954,511,6,1766,1766,
Jonesboro 8,Clayton,3947,443,1029,375,4,1851,1851,
Jonesboro 9,Clayton,1759,161,330,198,3,692,692,
Jonesboro 10,Clayton,3398,350,700,421,5,1476,1476,
Jonesboro 11,Clayton,3863,295,1210,741,3,2249,2249,
Jonesboro 12,Clayton,3067,323,858,417,14,1612,1612,
Jonesboro 13,Clayton,2140,251,677,371,4,1303,1303,
Jonesboro 14,Clayton,4116,291,1333,791,4,2419,2419,
Jonesboro 15,Clayton,2872,253,686,256,9,1204,1204,
Jonesboro 16,Clayton,2560,323,560,339,3,1225,1225,
Jonesboro 17,Clayton,3359,320,803,505,10,1638,1638,
Jonesboro 18,Clayton,3301,339,946,438,6,1729,1729,
Jonesboro 19,Clayton,3299,308,909,509,10,1736,1736,
Lake City,Clayton,3217,283,830,384,10,1507,1507,
Lovejoy 1,Clayton,4061,338,1410,641,2,2391,2391,
Lovejoy 2,Clayton,3611,261,1134,484,9,1888,1888,
Lovejoy 3,Clayton,1666,126,634,382,3,1145,1145,
Lovejoy 4,Clayton,4149,299,1591,634,4,2528,2528,
Lovejoy 5,Clayton,3451,313,1033,496,15,1857,1857,
Lovejoy 6,Clayton,3708,287,1270,608,8,2173,2173,
Lovejoy 7,Clayton,2779,256,825,222,6,1309,1309,
Morrow 1,Clayton,3328,419,775,366,2,1562,1562,
Morrow 2,Clayton,2081,142,524,273,3,942,942,
Morrow 3,Clayton,2407,190,622,379,5,1196,1196,
Morrow 4,Clayton,2112,207,504,279,3,993,993,
Morrow 5,Clayton,3056,285,1101,587,2,1975,1975,
Morrow 6,Clayton,3030,321,953,446,5,1725,1725,
Morrow 7,Clayton,2142,277,470,247,7,1001,1001,
Morrow 8,Clayton,3185,279,1125,544,10,1958,1958,
Morrow 9,Clayton,1509,135,414,225,1,775,775,
Morrow 10,Clayton,2342,175,833,289,3,1300,1300,
Morrow 11,Clayton,2295,249,684,293,2,1228,1228,
Oak 1,Clayton,2635,339,741,284,3,1367,1367,
Oak 2,Clayton,1974,243,419,220,10,892,892,
Oak 3,Clayton,2731,321,683,379,5,1388,1388,
Oak 4,Clayton,4233,450,1135,484,6,2075,2075,
Oak 5,Clayton,1795,183,402,85,5,675,675,
Panhandle 1,Clayton,2895,250,1069,588,2,1909,1909,
Panhandle 2,Clayton,3382,308,1240,512,4,2064,2064,
Riverdale 1,Clayton,2330,179,849,433,9,1470,1470,
Riverdale 2,Clayton,3431,322,932,546,24,1824,1824,
Riverdale 3,Clayton,3650,349,1115,612,7,2083,2083,
Riverdale 4,Clayton,4362,442,1001,664,10,2117,2117,
Riverdale 5,Clayton,2970,321,830,435,10,1596,1596,
Riverdale 6,Clayton,3661,375,686,403,9,1473,1473,
Riverdale 7,Clayton,3020,314,548,338,13,1213,1213,
Riverdale 8,Clayton,2895,256,917,614,5,1792,1792,
Riverdale 9,Clayton,2653,286,737,389,6,1418,1418,
Riverdale 10,Clayton,3176,335,683,290,9,1317,1317,
Riverdale 11,Clayton,1881,171,623,315,1,1110,1110,
Riverdale 12,Clayton,3065,307,917,537,2,1763,1763,
