Precinct,County,Registered Voters,Demetrius Douglas (I) (Dem)_Election Day Votes,Demetrius Douglas (I) (Dem)_Advanced Voting Votes,Demetrius Douglas (I) (Dem)_Absentee by Mail Votes,Demetrius Douglas (I) (Dem)_Provisional Votes,Demetrius Douglas (I) (Dem)_Choice Total,Total,
Jonesboro 3,Clayton,4107,30,74,60,2,166,166,
Jonesboro 5,Clayton,2064,268,563,327,0,1158,1158,
Jonesboro 6,Clayton,2574,155,674,562,3,1394,1394,
Jonesboro 8,Clayton,3947,445,1025,372,2,1844,1844,
Jonesboro 11,Clayton,3863,106,476,236,1,819,819,
Jonesboro 14,Clayton,4116,287,1333,818,2,2440,2440,
Lovejoy 1,Clayton,4061,38,138,57,0,233,233,
Lovejoy 2,Clayton,3611,261,1137,489,7,1894,1894,
Lovejoy 3,Clayton,1666,125,633,371,2,1131,1131,
Lovejoy 4,Clayton,4149,301,1588,643,3,2535,2535,
Lovejoy 5,Clayton,3451,107,365,142,0,614,614,
Lovejoy 6,Clayton,3708,294,1271,619,9,2193,2193,
Lovejoy 7,Clayton,2779,256,820,223,6,1305,1305,
Morrow 9,Clayton,1509,132,412,225,0,769,769,
