Precinct,County,Registered Voters,Felicia Franklin Warner (I) (Dem)_Election Day Votes,Felicia Franklin Warner (I) (Dem)_Advanced Voting Votes,Felicia Franklin Warner (I) (Dem)_Absentee by Mail Votes,Felicia Franklin Warner (I) (Dem)_Provisional Votes,Felicia Franklin Warner (I) (Dem)_Choice Total,Total,
Jonesboro 1,Clayton,3244,291,960,602,4,1857,1857,
Jonesboro 2,Clayton,4345,381,1269,740,10,2400,2400,
Jonesboro 3,Clayton,4107,221,1016,629,2,1868,1868,
Jonesboro 10,Clayton,3398,90,147,98,1,336,336,
Jonesboro 12,Clayton,3067,318,845,417,11,1591,1591,
Jonesboro 13,Clayton,2140,246,665,366,3,1280,1280,
Jonesboro 17,Clayton,3359,313,787,499,6,1605,1605,
Jonesboro 19,Clayton,3299,302,889,512,7,1710,1710,
Lovejoy 1,Clayton,4061,298,1270,575,2,2145,2145,
Lovejoy 2,Clayton,3611,231,1011,425,2,1669,1669,
Lovejoy 3,Clayton,1666,115,602,317,0,1034,1034,
Lovejoy 4,Clayton,4149,292,1574,629,3,2498,2498,
Lovejoy 5,Clayton,3451,312,1025,498,12,1847,1847,
Lovejoy 6,Clayton,3708,286,1240,516,3,2045,2045,
Lovejoy 7,Clayton,2779,36,99,5,0,140,140,
Panhandle 1,Clayton,2895,241,1056,577,2,1876,1876,
Panhandle 2,Clayton,3382,304,1218,518,4,2044,2044,
Riverdale 2,Clayton,3431,142,439,290,8,879,879,
