Precinct,County,Registered Voters,Mary L. Baker (I) (Dem)_Election Day Votes,Mary L. Baker (I) (Dem)_Advanced Voting Votes,Mary L. Baker (I) (Dem)_Absentee by Mail Votes,Mary L. Baker (I) (Dem)_Provisional Votes,Mary L. Baker (I) (Dem)_Choice Total,Total,
Jonesboro 3,Clayton,4107,252,1083,663,3,2001,2001,
Jonesboro 5,Clayton,2064,232,521,295,0,1048,1048,
Jonesboro 6,Clayton,2574,165,701,570,3,1439,1439,
Jonesboro 10,Clayton,3398,98,155,109,1,363,363,
Jonesboro 11,Clayton,3863,107,512,246,1,866,866,
Jonesboro 13,Clayton,2140,252,688,366,3,1309,1309,
Jonesboro 14,Clayton,4116,296,1354,804,2,2456,2456,
Jonesboro 17,Clayton,3359,265,668,375,0,1308,1308,
Jonesboro 19,Clayton,3299,7,22,25,0,54,54,
Lovejoy 1,Clayton,4061,342,1413,629,2,2386,2386,
