Precinct,County,Registered Voters,Ricky Crosby (I) (Rep)_Election Day Votes,Ricky Crosby (I) (Rep)_Advanced Voting Votes,Ricky Crosby (I) (Rep)_Absentee by Mail Votes,Ricky Crosby (I) (Rep)_Provisional Votes,Ricky Crosby (I) (Rep)_Choice Total,Total,
Altamaha 1,Jeff Davis,703,97,321,48,0,466,466,
Altamaha 2,Jeff Davis,1249,332,453,82,0,867,867,
