Precinct,County,Registered Voters,Dominic LaRiccia (I) (Rep)_Election Day Votes,Dominic LaRiccia (I) (Rep)_Advanced Voting Votes,Dominic LaRiccia (I) (Rep)_Absentee by Mail Votes,Dominic LaRiccia (I) (Rep)_Provisional Votes,Dominic LaRiccia (I) (Rep)_Choice Total,"Michael """"Buckle"""" Moore (Dem)_Election Day Votes","Michael """"Buckle"""" Moore (Dem)_Advanced Voting Votes","Michael """"Buckle"""" Moore (Dem)_Absentee by Mail Votes","Michael """"Buckle"""" Moore (Dem)_Provisional Votes","Michael """"Buckle"""" Moore (Dem)_Choice Total",Total,
Blackburn 1,Jeff Davis,870,92,208,37,0,337,30,49,36,0,115,452,
Blackburn 2,Jeff Davis,722,164,244,53,0,461,10,19,9,0,38,499,
Whitehead 1,Jeff Davis,988,97,316,67,0,480,30,74,37,0,141,621,
Whitehead 2,Jeff Davis,642,180,196,42,0,418,14,13,10,0,37,455,
Ocmulgee 2,Jeff Davis,499,14,28,9,0,51,1,1,1,0,3,54,
