Precinct,County,Registered Voters,Andy Ramay (I) (Rep)_Election Day Votes,Andy Ramay (I) (Rep)_Advanced Voting Votes,Andy Ramay (I) (Rep)_Absentee by Mail Votes,Andy Ramay (I) (Rep)_Provisional Votes,Andy Ramay (I) (Rep)_Choice Total,Total,
Altamaha 1,Jeff Davis,703,93,323,43,0,459,459,
Altamaha 2,Jeff Davis,1249,324,471,78,0,873,873,
