Precinct,County,Registered Voters,Greg Morris (I) (Rep)_Election Day Votes,Greg Morris (I) (Rep)_Advanced Voting Votes,Greg Morris (I) (Rep)_Absentee by Mail Votes,Greg Morris (I) (Rep)_Provisional Votes,Greg Morris (I) (Rep)_Choice Total,Total,
Altamaha 1,Jeff Davis,703,93,330,48,0,471,471,
Altamaha 2,Jeff Davis,1249,323,485,80,0,888,888,
