Precinct,County,Registered Voters,Sidney L. Beach (I)_Election Day Votes,Sidney L. Beach (I)_Advanced Voting Votes,Sidney L. Beach (I)_Absentee by Mail Votes,Sidney L. Beach (I)_Provisional Votes,Sidney L. Beach (I)_Choice Total,Total,
Yatesville,Upson,1347,365,382,136,0,883,883,
Salem,Upson,370,52,73,76,0,201,201,
Redbone,Upson,8219,696,3566,877,1,5140,5140,
Town,Upson,8239,621,2802,1043,2,4468,4468,
