Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
Cecil,Cook,1899,134,426,49,0,609,93,268,113,0,474,10,18,5,1,34,1117,
Delle Beamguard,Cook,2446,204,875,141,0,1220,76,187,113,0,376,11,15,9,0,35,1631,
Elm Pine,Cook,531,3,9,4,0,16,75,103,70,0,248,3,1,0,0,4,268,
Lenox,Cook,1275,229,382,63,0,674,72,58,33,0,163,10,4,4,0,18,855,
Massee,Cook,919,97,369,33,0,499,12,74,24,0,110,1,7,1,0,9,618,
New Life Baptist Church,Cook,1233,225,452,54,0,731,17,54,26,0,97,4,12,4,0,20,848,
Riverbend,Cook,1280,119,555,100,0,774,17,66,31,0,114,6,7,3,0,16,904,
Sparks,Cook,1049,64,116,27,0,207,123,124,72,0,319,3,3,3,0,9,535,
