Precinct,County,Registered Voters,Doug Hanks (I) (Ind)_Election Day Votes,Doug Hanks (I) (Ind)_Advanced Voting Votes,Doug Hanks (I) (Ind)_Absentee by Mail Votes,Doug Hanks (I) (Ind)_Provisional Votes,Doug Hanks (I) (Ind)_Choice Total,Total,
Cecil,Cook,1899,220,681,136,0,1037,1037,
Delle Beamguard,Cook,2446,273,1036,240,0,1549,1549,
Elm Pine,Cook,531,70,90,67,0,227,227,
Lenox,Cook,1275,293,410,91,0,794,794,
Massee,Cook,919,110,447,49,0,606,606,
New Life Baptist Church,Cook,1233,248,509,79,0,836,836,
Riverbend,Cook,1280,133,607,131,0,871,871,
Sparks,Cook,1049,172,225,92,0,489,489,
