Precinct,County,Registered Voters,Tim Purvis (I) (Rep)_Election Day Votes,Tim Purvis (I) (Rep)_Advanced Voting Votes,Tim Purvis (I) (Rep)_Absentee by Mail Votes,Tim Purvis (I) (Rep)_Provisional Votes,Tim Purvis (I) (Rep)_Choice Total,Total,
Cecil,Cook,1899,219,650,127,0,996,996,
Delle Beamguard,Cook,2446,274,1024,224,0,1522,1522,
Elm Pine,Cook,531,59,73,59,0,191,191,
Lenox,Cook,1275,294,426,90,0,810,810,
Massee,Cook,919,111,444,49,0,604,604,
New Life Baptist Church,Cook,1233,255,512,79,0,846,846,
Riverbend,Cook,1280,140,608,122,0,870,870,
Sparks,Cook,1049,161,222,83,0,466,466,
