Precinct,County,Registered Voters,Penny Houston (I) (Rep)_Election Day Votes,Penny Houston (I) (Rep)_Advanced Voting Votes,Penny Houston (I) (Rep)_Absentee by Mail Votes,Penny Houston (I) (Rep)_Provisional Votes,Penny Houston (I) (Rep)_Choice Total,Andre Oliver (Dem)_Election Day Votes,Andre Oliver (Dem)_Advanced Voting Votes,Andre Oliver (Dem)_Absentee by Mail Votes,Andre Oliver (Dem)_Provisional Votes,Andre Oliver (Dem)_Choice Total,Total,
Cecil,Cook,1899,146,464,65,0,675,96,265,105,0,466,1141,
Delle Beamguard,Cook,2446,214,922,151,0,1287,79,174,112,0,365,1652,
Elm Pine,Cook,531,11,15,9,0,35,72,95,65,0,232,267,
Lenox,Cook,1275,257,391,74,0,722,65,59,29,0,153,875,
Massee,Cook,919,103,392,36,0,531,11,69,23,0,103,634,
New Life Baptist Church,Cook,1233,239,475,60,0,774,15,55,25,0,95,869,
Riverbend,Cook,1280,131,572,102,0,805,14,69,31,0,114,919,
Sparks,Cook,1049,84,138,35,0,257,114,109,69,0,292,549,
