Precinct,County,Registered Voters,April M. Garrett (I) (Rep)_Election Day Votes,April M. Garrett (I) (Rep)_Advanced Voting Votes,April M. Garrett (I) (Rep)_Absentee by Mail Votes,April M. Garrett (I) (Rep)_Provisional Votes,April M. Garrett (I) (Rep)_Choice Total,Total,
Cecil,Cook,1899,214,629,126,0,969,969,
Delle Beamguard,Cook,2446,267,1024,219,0,1510,1510,
Elm Pine,Cook,531,58,75,58,0,191,191,
Lenox,Cook,1275,287,414,89,0,790,790,
Massee,Cook,919,110,443,49,0,602,602,
New Life Baptist Church,Cook,1233,250,507,73,0,830,830,
Riverbend,Cook,1280,138,605,123,0,866,866,
Sparks,Cook,1049,158,214,78,0,450,450,
