Precinct,County,Registered Voters,Tonya G. McConnell (I) (Rep)_Election Day Votes,Tonya G. McConnell (I) (Rep)_Advanced Voting Votes,Tonya G. McConnell (I) (Rep)_Absentee by Mail Votes,Tonya G. McConnell (I) (Rep)_Provisional Votes,Tonya G. McConnell (I) (Rep)_Choice Total,Total,
Cecil,Cook,1899,216,652,131,0,999,999,
Delle Beamguard,Cook,2446,274,1024,224,0,1522,1522,
Elm Pine,Cook,531,62,83,60,0,205,205,
Lenox,Cook,1275,288,418,91,0,797,797,
Massee,Cook,919,109,445,50,0,604,604,
New Life Baptist Church,Cook,1233,256,507,78,0,841,841,
Riverbend,Cook,1280,138,612,125,0,875,875,
Sparks,Cook,1049,164,219,82,0,465,465,
