Precinct,County,Registered Voters,William E. Harrell (Rep)_Election Day Votes,William E. Harrell (Rep)_Advanced Voting Votes,William E. Harrell (Rep)_Absentee by Mail Votes,William E. Harrell (Rep)_Provisional Votes,William E. Harrell (Rep)_Choice Total,Total,
Townsend,McIntosh,564,85,115,138,0,338,338,
South Newport,McIntosh,2095,333,722,335,0,1390,1390,
