Precinct,County,Registered Voters,Robert Francis Gore_Election Day Votes,Robert Francis Gore_Advanced Voting Votes,Robert Francis Gore_Absentee by Mail Votes,Robert Francis Gore_Provisional Votes,Robert Francis Gore_Choice Total,Total,
Sapelo Island,McIntosh,53,7,9,8,0,24,24,
Townsend,McIntosh,564,77,115,138,0,330,330,
Crescent,McIntosh,1982,231,519,227,0,977,977,
Darien,McIntosh,2441,157,858,320,0,1335,1335,
South Newport,McIntosh,2095,303,682,326,1,1312,1312,
North Darien,McIntosh,2157,245,694,212,0,1151,1151,
