Precinct,County,Registered Voters,"Michelle """"Missy"""" Brigman (I) (Rep)_Election Day Votes","Michelle """"Missy"""" Brigman (I) (Rep)_Advanced Voting Votes","Michelle """"Missy"""" Brigman (I) (Rep)_Absentee by Mail Votes","Michelle """"Missy"""" Brigman (I) (Rep)_Provisional Votes","Michelle """"Missy"""" Brigman (I) (Rep)_Choice Total",Total,
Sapelo Island,McIntosh,53,6,8,7,0,21,21,
Townsend,McIntosh,564,82,116,134,0,332,332,
Crescent,McIntosh,1982,221,488,209,0,918,918,
Darien,McIntosh,2441,158,841,309,0,1308,1308,
South Newport,McIntosh,2095,326,706,308,1,1341,1341,
North Darien,McIntosh,2157,247,712,184,0,1143,1143,
