Precinct,County,Registered Voters,Sheila McNeill (Rep)_Election Day Votes,Sheila McNeill (Rep)_Advanced Voting Votes,Sheila McNeill (Rep)_Absentee by Mail Votes,Sheila McNeill (Rep)_Provisional Votes,Sheila McNeill (Rep)_Choice Total,Total,
Sapelo Island,McIntosh,53,5,9,5,0,19,19,
Townsend,McIntosh,564,82,111,129,0,322,322,
Crescent,McIntosh,1982,207,452,187,0,846,846,
Darien,McIntosh,2441,150,805,287,0,1242,1242,
South Newport,McIntosh,2095,322,704,312,1,1339,1339,
North Darien,McIntosh,2157,245,686,183,0,1114,1114,
