Precinct,County,Registered Voters,Brenda T. Danner (I) (Rep)_Election Day Votes,Brenda T. Danner (I) (Rep)_Advanced Voting Votes,Brenda T. Danner (I) (Rep)_Absentee by Mail Votes,Brenda T. Danner (I) (Rep)_Provisional Votes,Brenda T. Danner (I) (Rep)_Choice Total,Total,
Midway,Lincoln,587,123,180,81,0,384,384,
Lincoln Club House,Lincoln,799,108,205,111,2,426,426,
Lincoln Center,Lincoln,1489,206,604,183,0,993,993,
Faith Temple of Lincoln,Lincoln,489,94,163,62,0,319,319,
Tabernacle,Lincoln,1003,174,292,105,0,571,571,
Bethany Church,Lincoln,575,123,189,68,0,380,380,
Martins Crossroad,Lincoln,1234,259,482,143,1,885,885,
