Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Midway,Lincoln,587,100,160,44,0,304,29,31,63,0,123,2,2,2,0,6,433,
Lincoln Club House,Lincoln,799,70,132,26,0,228,59,119,148,2,328,0,0,2,0,2,558,
Lincoln Center,Lincoln,1489,174,555,125,0,854,46,108,92,0,246,7,10,4,0,21,1121,
Faith Temple of Lincoln,Lincoln,489,78,119,28,0,225,21,54,51,0,126,0,5,4,0,9,360,
Tabernacle,Lincoln,1003,127,239,53,0,419,61,103,135,0,299,4,8,5,0,17,735,
Bethany Church,Lincoln,575,113,171,48,0,332,13,33,26,0,72,1,2,5,0,8,412,
Martins Crossroad,Lincoln,1234,239,440,97,1,777,24,73,80,0,177,8,9,3,0,20,974,
