Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Midway,Lincoln,587,86,116,66,0,268,38,71,28,0,137,405,
Lincoln Club House,Lincoln,799,83,144,107,1,335,32,77,49,1,159,494,
Lincoln Center,Lincoln,1489,152,412,132,0,696,55,196,66,0,317,1013,
Faith Temple of Lincoln,Lincoln,489,60,117,44,0,221,31,50,34,0,115,336,
Tabernacle,Lincoln,1003,127,244,120,0,491,47,86,49,0,182,673,
Bethany Church,Lincoln,575,70,133,60,0,263,50,64,18,0,132,395,
Martins Crossroad,Lincoln,1234,171,338,103,1,613,78,151,54,0,283,896,
